"id","Name","Full_Address","Website","Plus_Code","Rating","Reviews","URL",
"12","Buddies Burger","Budapest, Magyar u. 52, 1053","buddies.hu","F3R6+5C Budapest","4.7","676","https://www.google.com/maps/place/Buddies+Burger/@47.4869134,19.0592591,16z/data=!4m8!1m2!2m1!1srestaurants!3m4!1s0x4741dc5b30274b09:0x4c125a40cefcfea6!8m2!3d47.4904273!4d19.0610048?hl=en",
"11","Borssó Bistro","Budapest, Királyi Pál u. 14, 1053","borsso.hu","F3Q5+VR Budapest","4.7","790","https://www.google.com/maps/place/Borss%C3%B3+Bistro/@47.4869134,19.0592591,16z/data=!4m8!1m2!2m1!1srestaurants!3m4!1s0x4741dc452d2b6cf3:0xc383d3464b0fc77e!8m2!3d47.4896545!4d19.0595664?hl=en",
"10","Paprika Jancsi Restaurant","Budapest, Ráday u. 16, 1092","paprikajancsietterem.hu","F3Q7+36 Budapest","4.2","1,607","https://www.google.com/maps/place/Paprika+Jancsi+Restaurant/@47.4869134,19.0592591,16z/data=!4m8!1m2!2m1!1srestaurants!3m4!1s0x4741dc5a6fa20663:0xb91a5c6e30344bdf!8m2!3d47.487664!4d19.0630582?hl=en",
"9","WokZilla","Budapest, Ráday u. 33a, 1092","wokzilla.hu","F3P7+3R Budapest","4.2","762","https://www.google.com/maps/place/WokZilla/@47.4869134,19.0592591,16z/data=!4m8!1m2!2m1!1srestaurants!3m4!1s0x4741dc5735d794df:0xc7e8deb6f361a0f5!8m2!3d47.485248!4d19.064501?hl=en",
"8","Tifliso restaurant/ Tifliszo grúz étterem","Budapest, Ráday u. 11-13, 1092","tifliszo.hu","F3P7+W5 Budapest","4.6","107","https://www.google.com/maps/place/Tifliso+restaurant%2F+Tifliszo+gr%C3%BAz+%C3%A9tterem/@47.4869134,19.0592591,16z/data=!4m8!1m2!2m1!1srestaurants!3m4!1s0x4741dd752472f085:0x2037b3621bc22ac1!8m2!3d47.4873209!4d19.0629465?hl=en",
"7","Darbar Friends","Budapest, Ferenc krt. 36, 1092","darbar-friends.business.site","F3M9+RM Budapest","4.9","144","https://www.google.com/maps/place/Darbar+Friends/@47.4869134,19.0592591,16z/data=!4m8!1m2!2m1!1srestaurants!3m4!1s0x4741ddb1f4b8a8d9:0x382535d931403846!8m2!3d47.4845156!4d19.0691667?hl=en",
"6","Costes Restaurant","Budapest, Ráday u. 4, 1092","costes.hu","F3Q6+GW Budapest","4.5","346","https://www.google.com/maps/place/Costes+Restaurant/@47.4869134,19.0592591,16z/data=!4m8!1m2!2m1!1srestaurants!3m4!1s0x4741dc5ae59ceba5:0x8393b16f22898a6d!8m2!3d47.4887571!4d19.062258?hl=en",
"5","Claro Bisztró","Budapest, Ráday u. 35, 1092","clarobisztro.hu","F3M7+WX Budapest","4.5","882","https://www.google.com/maps/place/Claro+Bisztr%C3%B3/@47.4869134,19.0592591,16z/data=!4m8!1m2!2m1!1srestaurants!3m4!1s0x4741dc573affdb71:0x9e6aafd8b425ab7e!8m2!3d47.484797!4d19.06492?hl=en",
"4","Shiraz Lounge & Restaurant","Budapest, Ráday u. 21, 1092","shirazbudapest.com","F3P7+GF Budapest","3.8","449","https://www.google.com/maps/place/Shiraz+Lounge+%26+Restaurant/@47.4869134,19.0592591,16z/data=!4m8!1m2!2m1!1srestaurants!3m4!1s0x4741dc50a5c29eb7:0x751e5a39bf9775b1!8m2!3d47.486345!4d19.0637489?hl=en",
"3","Vörös Postakocsi Restaurant​","Budapest, Ráday u. 15, 1092","vorospk.com","F3P7+R8 Budapest","4.2","986","https://www.google.com/maps/place/V%C3%B6r%C3%B6s+Postakocsi+Restaurant%E2%80%8B/@47.4869134,19.0592591,16z/data=!4m8!1m2!2m1!1srestaurants!3m4!1s0x4741dc5a7555f01b:0x4c231730e215128c!8m2!3d47.4870333!4d19.0632556?hl=en",
"2","Manga Cowboy!","Budapest, Ráday u. 31, 1092","mangacowboy.hu","F3P7+5P Budapest","4.4","1,927","https://www.google.com/maps/place/Manga+Cowboy!/@47.4869134,19.0592591,16z/data=!4m8!1m2!2m1!1srestaurants!3m4!1s0x4741dc5737ab964d:0x580354f37186d39!8m2!3d47.485495!4d19.064315?hl=en",
"1","Holló és Róka","Budapest, Ráday u. 23, 1092","holloesroka.hu","F3P7+FG Budapest","4.4","174","https://www.google.com/maps/place/Holl%C3%B3+%C3%A9s+R%C3%B3ka/@47.4861371,19.0490909,14z/data=!4m8!1m2!2m1!1srestaurants!3m4!1s0x4741dc50afe3b7cd:0xbbca4e2bec7ef83!8m2!3d47.4861371!4d19.0638145?hl=en",
