"id","Name","Full_Address","Website","Plus_Code","Rating","Reviews","URL",
"393","Margaret Terrace Restaurant","Szabadtéri Színpad, Budapest Margitsziget, Víztorony, 1007 Hungary","margitterasz.hu","G3J2+42 Budapest, Hungary","2.9","105","https://www.google.com/maps/place/Margaret+Terrace+Restaurant/@47.5070604,19.0059233,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dbe3511923ff:0x3db7f99a3c5849ce!8m2!3d47.530323!4d19.050096?hl=en",
"392","FIRST Craft Beer & BBQ","Budapest, Dob u. 3, 1072 Hungary","facebook.com","F3W5+MV Budapest, Hungary","4.5","1,457","https://www.google.com/maps/place/FIRST+Craft+Beer+%26+BBQ/@47.5070604,19.0059233,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dc4269abecdb:0x6f007951ed851984!8m2!3d47.4967146!4d19.0596325?hl=en",
"391","Mucho Burrito","Budapest, Váci út 1-3, 1062 Hungary","muchoburrito.com","G376+J2 Budapest, Hungary","3.4","132","https://www.google.com/maps/place/Mucho+Burrito/@47.5070604,19.0059233,12z/data=!3m1!5s0x4741dc0b7b79c4bd:0x6afea93c0faf4cdb!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dc0b400ffc79:0xbd68e6ce05b4e272!8m2!3d47.5140671!4d19.0600526?hl=en",
"390","Jardín cocktail Bar","Budapest, Dob u. 16, 1072 Hungary","facebook.com","F3X5+6X Budapest, Hungary","4.4","124","https://www.google.com/maps/place/Jard%C3%ADn+cocktail+Bar/@47.5070604,19.0059233,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dd2379dc7c87:0xe2cf832af9eab5a6!8m2!3d47.4980733!4d19.059926?hl=en",
"389","360 Bar","Budapest, Andrássy út 39, 1061 Hungary","360bar.hu","G336+FJ Budapest, Hungary","4.3","3,296","https://www.google.com/maps/place/360+Bar/@47.5070604,19.0059233,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dc6c2200db75:0x6be15de012372e28!8m2!3d47.503694!4d19.061523?hl=en",
"388","Pizza Hut","Budapest, Kossuth Lajos u., 1203 Hungary","pizzahut.hu","C4Q4+P7 Budapest, Hungary","3.4","19","https://www.google.com/maps/place/Pizza+Hut/@47.5070604,19.0059233,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741c345e3893b77:0x3bea36c969ce83e7!8m2!3d47.4392762!4d19.105691?hl=en",
"387","Smúz-viragneked.hu","Budapest, Kossuth Lajos tér 18, 1055 Hungary","viragneked.hu","G25W+QJ Budapest, Hungary","3.7","454","https://www.google.com/maps/place/Sm%C3%BAz-viragneked.hu/@47.5070604,19.0059233,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dc103ad2811b:0x8fc21b5b5f78ba1!8m2!3d47.5094611!4d19.0465778?hl=en",
"386","Intermezzo Roof Terrace","Budapest, Hotel President, Hold u. 3, 1054 Hungary","hotelpresident.hu","G333+J6 Budapest, Hungary","4.5","162","https://www.google.com/maps/place/Intermezzo+Roof+Terrace/@47.5070604,19.0059233,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dc14a0490d87:0x8f2a0d1eba527dce!8m2!3d47.5040511!4d19.0530982?hl=en",
"385","Las Vegan's","Budapest, Római part 47, 1031 Hungary","lasvegans.eu","H3F8+X3 Budapest, Hungary","4.7","3","https://www.google.com/maps/place/Las+Vegan's/@47.5070604,19.0059233,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741d9836cc89715:0x95180883e1b4829c!8m2!3d47.5748874!4d19.0652323?hl=en",
"384","LaliBela Gyros","Budapest, Bajcsy-Zsilinszky út 65, 1065 Hungary","facebook.com","G354+Q6 Budapest, Hungary","3.5","31","https://www.google.com/maps/place/LaliBela+Gyros/@47.5070604,19.0059233,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dc0d07d7c4af:0x504a2b889133e043!8m2!3d47.5094953!4d19.055539?hl=en",
"383","Lángosh","Budapest, Király u. 13, 1075 Hungary","facebook.com","F3X5+J8 Budapest, Hungary","3.5","160","https://www.google.com/maps/place/L%C3%A1ngosh/@47.5070604,19.0059233,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dc6a18f6366f:0x3551466f38721288!8m2!3d47.4991089!4d19.0583575?hl=en",
"382","Lalibela Fast Food","Budapest, Teréz krt. 62, 1066 Hungary","lalibelafood.hu","G364+29 Budapest, Hungary","3.5","37","https://www.google.com/maps/place/Lalibela+Fast+Food/@47.5070604,19.0059233,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dc0d0c194a97:0xa117fab8b8d8f76!8m2!3d47.5100082!4d19.055879?hl=en",
"381","Deep Burger","Budapest, Klauzál u. 21, 1072 Hungary","","F3X8+8G Budapest, Hungary","3.7","168","https://www.google.com/maps/place/Deep+Burger/@47.5101525,19.0093022,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dc67da14b559:0x542852e21751054a!8m2!3d47.4983496!4d19.0663?hl=en",
"380","BB'z Bar & Grill","Budapest, 1013 Hungary","bbzbar.com","F2XR+53 Budapest, Hungary","4.4","1,762","https://www.google.com/maps/place/BB'z+Bar+%26+Grill/@47.5101525,19.0093022,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dc6a20f1336d:0xd4921a0a7d0e2da5!8m2!3d47.497912!4d19.040235?hl=en",
