"id","Name","Full_Address","Website","Plus_Code","Rating","Reviews","URL",
"157","Hungarian Electrotechnical Museum","Budapest, Kazinczy u. 21, 1075 Hungary","mmkm.hu","F3X7+55 Budapest, Hungary","4.1","209","https://www.google.com/maps/place/Hungarian+Electrotechnical+Museum/@47.5076282,19.0059231,12z/data=!4m9!1m3!2m2!1shistorical+places+near+Budapest,+Hungary!6e1!3m4!1s0x4741dc683c910b43:0xd6dc0b176af96be4!8m2!3d47.4979136!4d19.0629676?hl=en",
"156","Orthodox Cathedral of Our Lady","Budapest, Petőfi tér 2, 1052 Hungary","magyarorthodoxia.org","F3V2+89 Budapest, Hungary","4.7","151","https://www.google.com/maps/place/Orthodox+Cathedral+of+Our+Lady/@47.5076282,19.0059231,12z/data=!4m9!1m3!2m2!1shistorical+places+near+Budapest,+Hungary!6e1!3m4!1s0x4741dc47263828df:0xe9394cad79d14366!8m2!3d47.4933057!4d19.0508866?hl=en",
"155","Budavári Evangélikus Templom és Gyülekezet","Budapest, Táncsics Mihály u. 28, 1014 Hungary","budavar.lutheran.hu","G23J+V8 Budapest, Hungary","4.6","204","https://www.google.com/maps/place/Budav%C3%A1ri+Evang%C3%A9likus+Templom+%C3%A9s+Gy%C3%BClekezet/@47.5076282,19.0059231,12z/data=!4m9!1m3!2m2!1shistorical+places+near+Budapest,+Hungary!6e1!3m4!1s0x4741dc1f19bf44d9:0x9d6c8c02bd8def77!8m2!3d47.504646!4d19.0308629?hl=en",
"154","‪Shoes on the Danube Promenade Memorial","Budapest, Id. Antall József rkp. 18, 1052 Hungary","","G23V+HW Budapest, Hungary","4.6","118","https://www.google.com/maps/place/%E2%80%AAShoes+on+the+Danube+Promenade+Memorial/@47.5076282,19.0059231,12z/data=!4m9!1m3!2m2!1shistorical+places+near+Budapest,+Hungary!6e1!3m4!1s0x4741dc16c2916597:0x6c19b9878bc5bd0d!8m2!3d47.5039671!4d19.0448335?hl=en",
"153","Museum of Tax And Customs","Budapest, Munkácsy Mihály u. 19b, 1063 Hungary","nav.gov.hu","G37C+FR Budapest, Hungary","4.0","59","https://www.google.com/maps/place/Museum+of+Tax+And+Customs/@47.5076282,19.0059231,12z/data=!4m9!1m3!2m2!1shistorical+places+near+Budapest,+Hungary!6e1!3m4!1s0x4741dc76513e11e3:0x760867389ab50046!8m2!3d47.513712!4d19.072067?hl=en",
"152","Budapest Xplore","Budapest, Zrínyi u. 5, 1051 Hungary","budapestxplore.com","G22X+4H Budapest, Hungary","4.0","2","https://www.google.com/maps/place/Budapest+Xplore/@47.5076282,19.0059231,12z/data=!4m9!1m3!2m2!1shistorical+places+near+Budapest,+Hungary!6e1!3m4!1s0x4741dd3ef2d7907b:0x7e8520852982c566!8m2!3d47.5002512!4d19.0488878?hl=en",
"151","The Glass House Memorial Museum","Budapest, Vadász u. 29, 1054 Hungary","uveghaz.org","G343+6G Budapest, Hungary","4.6","37","https://www.google.com/maps/place/The+Glass+House+Memorial+Museum/@47.5076282,19.0059231,12z/data=!4m9!1m3!2m2!1shistorical+places+near+Budapest,+Hungary!6e1!3m4!1s0x4741dc1317053647:0xe58eb67902ecebfb!8m2!3d47.5055421!4d19.0537883?hl=en",
"150","Szamos Chocolate Museum","Budapest, 1051, Kossuth Lajos tér 10, 1055 Hungary","csokolademuzeum.hu","G24X+64 Budapest, Hungary","4.2","585","https://www.google.com/maps/place/Szamos+Chocolate+Museum/@47.5076282,19.0059231,12z/data=!4m9!1m3!2m2!1shistorical+places+near+Budapest,+Hungary!6e1!3m4!1s0x4741dc115bb0e503:0x460c5b7df525e468!8m2!3d47.505589!4d19.0478729?hl=en",
"149","Oszoly-csúcs","Csobánka, Hegyalja u. 12-13, 2014 Hungary","","JXWF+JG Csobánka, Hungary","4.9","303","https://www.google.com/maps/place/Oszoly-cs%C3%BAcs/@47.6465219,18.9037879,12z/data=!4m9!1m3!2m2!1shistorical+places+near+Budapest,+Hungary!6e1!3m4!1s0x476a785d6c29bdcb:0x46ebe4650da4726d!8m2!3d47.6465219!4d18.9738257?hl=en",
"148","Budapesti Fesztivál-és Turisztikai Központ","Budapest, Városház u. 9-11, 1052 Hungary","budapestinfo.hu","F3W3+2V Budapest, Hungary","3.7","3","https://www.google.com/maps/place/Budapesti+Fesztiv%C3%A1l-%C3%A9s+Turisztikai+K%C3%B6zpont/@47.5076282,19.0059231,12z/data=!4m9!1m3!2m2!1shistorical+places+near+Budapest,+Hungary!6e1!3m4!1s0x4741dc411a2ef5eb:0x29ce35ab0774903a!8m2!3d47.495003!4d19.0547251?hl=en",
