"id","Name","Full_Address","Website","Plus_Code","Rating","Reviews","URL",
"247","","","","","","","https://www.google.com/maps/search/hotels+near+Budapest,+Hungary/@47.4995066,19.064541,16z/data=!3m1!4b1!4m2!2m1!6e3?hl=en",
"246","Spaghetti Hostel","Budapest, Síp u. 5, 1075 Hungary","","F3W7+92 Budapest, Hungary","1.6","7","https://www.google.com/maps/place/Spaghetti+Hostel/@47.4995209,19.064541,16z/data=!4m12!1m3!2m2!1shotels+near+Budapest,+Hungary!6e3!3m7!1s0x4741dc42bf502dab:0x90d5738b70fdaf3a!5m2!4m1!1i2!8m2!3d47.4959097!4d19.0625919?hl=en",
"245","Yep! Hostel","Budapest, Wesselényi u. 15, 1077 Hungary","","F3W7+W4 Budapest, Hungary","3.3","3","https://www.google.com/maps/place/Yep!+Hostel/@47.4995209,19.064541,16z/data=!4m12!1m3!2m2!1shotels+near+Budapest,+Hungary!6e3!3m7!1s0x4741dc682131353b:0x9549f878771b96ef!5m2!4m1!1i2!8m2!3d47.4973031!4d19.0628638?hl=en",
"244","Seven Trees Apartment","Budapest, Akácfa u. 50, 1072 Hungary","","G327+6W Budapest, Hungary","","","https://www.google.com/maps/place/Seven+Trees+Apartment/@47.4995209,19.064541,16z/data=!4m12!1m3!2m2!1shotels+near+Budapest,+Hungary!6e3!3m7!1s0x4741dc68e9e62db1:0xb27bfc67bb0a1d69!5m2!4m1!1i2!8m2!3d47.5005372!4d19.0648196?hl=en",
"243","Bazar Hostel","Budapest, Dohány u. 22-24, 1074 Hungary","bazarhostel.com","F3W7+66 Budapest, Hungary","4.3","149","https://www.google.com/maps/place/Bazar+Hostel/@47.4955654,19.0586524,16z/data=!4m12!1m3!2m2!1shotels+near+Budapest,+Hungary!6e3!3m7!1s0x4741dc42c8907f75:0x7e216b631e958402!5m2!4m1!1i2!8m2!3d47.4955654!4d19.0630298?hl=en",
"242","Erzsebet Hostel","Budapest, Erzsébet krt. 22, 1073 Hungary","","F3X9+VH Budapest, Hungary","","","https://www.google.com/maps/place/Erzsebet+Hostel/@47.4995209,19.064541,16z/data=!4m12!1m3!2m2!1shotels+near+Budapest,+Hungary!6e3!3m7!1s0x4741dc6643c2fe8d:0x7c0063cb3cea089a!5m2!4m1!1i2!8m2!3d47.4996269!4d19.0689949?hl=en",
"241","Big Fish Hostel","Budapest, Erzsébet krt. 33, 1073 Hungary","ostrovok.ru","G329+G7 Budapest, Hungary","4.6","122","https://www.google.com/maps/place/Big+Fish+Hostel/@47.4995209,19.064541,16z/data=!4m12!1m3!2m2!1shotels+near+Budapest,+Hungary!6e3!3m7!1s0x4741dc663ceda1b5:0x610de8b2ab9724b3!5m2!4m1!1i2!8m2!3d47.5013408!4d19.0681959?hl=en",
"240","Rákóczi Kft.","Budapest, Rákóczi út 17, 1088 Hungary","","F3W7+2M Budapest, Hungary","","","https://www.google.com/maps/place/R%C3%A1k%C3%B3czi+Kft./@47.495068,19.0597716,16z/data=!4m12!1m3!2m2!1shotels+near+Budapest,+Hungary!6e3!3m7!1s0x4741dc5d304c9cd5:0xdead82143203b505!5m2!4m1!1i2!8m2!3d47.495068!4d19.064149?hl=en",
"239","Family Guesthouse","Budapest, Kazinczy u. 6a, fsz., 1075 Hungary","booking.com","F3W7+GG Budapest, Hungary","3.2","24","https://www.google.com/maps/place/Family+Guesthouse/@47.4995209,19.064541,16z/data=!4m12!1m3!2m2!1shotels+near+Budapest,+Hungary!6e3!3m7!1s0x4741dc42b2001415:0x572790712e56c44e!5m2!4m1!1i2!8m2!3d47.49629!4d19.063833?hl=en",
"238","Bella Hostel","Budapest, Népszínház u. 16, 1081 Hungary","bella.insta-hostel.com","F3WF+6G Budapest, Hungary","3.8","14","https://www.google.com/maps/place/Bella+Hostel/@47.4955934,19.0694707,16z/data=!4m12!1m3!2m2!1shotels+near+Budapest,+Hungary!6e3!3m7!1s0x4741dc609b65ed33:0x498e1eb36dce1834!5m2!4m1!1i2!8m2!3d47.4955934!4d19.0738481?hl=en",
"237","Buda BnB","Budapest, Akácfa u. 18, 1072 Hungary","","F3X9+92 Budapest, Hungary","5.0","1","https://www.google.com/maps/place/Buda+BnB/@47.4995209,19.064541,16z/data=!4m12!1m3!2m2!1shotels+near+Budapest,+Hungary!6e3!3m7!1s0x4741dc67c9f1dda9:0xeae1a9cf7829a1d3!5m2!4m1!1i2!8m2!3d47.4984722!4d19.0675801?hl=en",
"236","All In Apartman","Budapest, Rákóczi út 10, 1072 Hungary","booking.com","F3W6+2X Budapest, Hungary","4.7","34","https://www.google.com/maps/place/All+In+Apartman/@47.495095,19.0580196,16z/data=!4m12!1m3!2m2!1shotels+near+Budapest,+Hungary!6e3!3m7!1s0x4741dc42da5ebe29:0x6cbbfbda371621b3!5m2!4m1!1i2!8m2!3d47.495095!4d19.062397?hl=en",
"235","My little paradise","Budapest Rumbach Sebestyen 7 III.52, 1075 Hungary","","F3W5+XP Budapest, Hungary","","","https://www.google.com/maps/place/My+little+paradise/@47.4995209,19.064541,16z/data=!4m12!1m3!2m2!1shotels+near+Budapest,+Hungary!6e3!3m7!1s0x4741dc420b82bff1:0xecc79961f728bb84!5m2!4m1!1i2!8m2!3d47.4974303!4d19.059281?hl=en",
"234","Dob Twenty Rooms","Budapest, Dob u. 20, 1072 Hungary","","F3X6+69 Budapest, Hungary","4.5","10","https://www.google.com/maps/place/Dob+Twenty+Rooms/@47.4995209,19.064541,16z/data=!4m12!1m3!2m2!1shotels+near+Budapest,+Hungary!6e3!3m7!1s0x4741dd914e6587fb:0x8f3a2158f08d9f1a!5m2!4m1!1i2!8m2!3d47.4980335!4d19.060933?hl=en",
"233","Friends Hostel","Budapest, Teréz krt. 4, 1066 Hungary","friendshostel.hu","G337+CX Budapest, Hungary","4.3","316","https://www.google.com/maps/place/Friends+Hostel/@47.4995209,19.064541,16z/data=!4m12!1m3!2m2!1shotels+near+Budapest,+Hungary!6e3!3m7!1s0x4741dc13ff98664d:0x81a705920a5fbc30!5m2!4m1!1i2!8m2!3d47.5035917!4d19.0649972?hl=en",
"232","Astoria Centrum Apartment","Budapest, Rákóczi út 14, 1072 Hungary","","F3W7+48 Budapest, Hungary","","","https://www.google.com/maps/place/Astoria+Centrum+Apartment/@47.4953226,19.0589814,16z/data=!4m12!1m3!2m2!1shotels+near+Budapest,+Hungary!6e3!3m7!1s0x4741dc42cc917dd1:0x7e7ff53e96fec386!5m2!4m1!1i2!8m2!3d47.4953226!4d19.0633588?hl=en",
"231","Klauzál Café & Restaurant - magyar étterem, goulash, traditional hungarian dishes","Budapest, Klauzál u. 23, 1072 Hungary","klauzalcafe.hu","F3X8+CF Budapest, Hungary","4.4","869","https://www.google.com/maps/place/Klauz%C3%A1l+Caf%C3%A9+%26+Restaurant+-+magyar+%C3%A9tterem,+goulash,+traditional+hungarian+dishes/@47.4995209,19.064541,16z/data=!4m12!1m3!2m2!1shotels+near+Budapest,+Hungary!6e3!3m7!1s0x4741dc67d713bb15:0x590374b5412d36f6!5m2!4m1!1i2!8m2!3d47.498548!4d19.0662079?hl=en",
"230","Retox Party Hostel","Budapest, Ó u. 41, 1066 Hungary","budapestpartyhostels.com","G345+3W Budapest, Hungary","4.3","590","https://www.google.com/maps/place/Retox+Party+Hostel/@47.4995209,19.064541,16z/data=!4m12!1m3!2m2!1shotels+near+Budapest,+Hungary!6e3!3m7!1s0x4741dc6c54c26557:0x87733dc71f6c265e!5m2!4m1!1i2!8m2!3d47.5051799!4d19.0597836?hl=en",
"229","El Mexicano Oktogon","Budapest, Teréz krt. 9, 1067 Hungary","facebook.com","G337+QV Budapest, Hungary","4.6","107","https://www.google.com/maps/place/El+Mexicano+Oktogon/@47.4995209,19.064541,16z/data=!4m12!1m3!2m2!1shotels+near+Budapest,+Hungary!6e3!3m7!1s0x4741dd67e7896453:0x263317346f6b3347!5m2!4m1!1i2!8m2!3d47.5044875!4d19.0647077?hl=en",
