"id","Name","Full_Address","Website","Plus_Code","Rating","Reviews","URL",
"302","PEPCO raktár, Pepkor Hungary Kft.","Gyál, sz. DC4-es épület, 2360 Gyál, Prologis Üzleti Park Budapest, Gorcsev Iván utca 7, 2360 Hungary","pepco.hu","957Q+VQ Gyál, Hungary","4.2","79","https://www.google.com/maps/place/PEPCO+rakt%C3%A1r,+Pepkor+Hungary+Kft./@47.3647048,19.0494024,11z/data=!4m9!1m3!2m2!1sparks+near+Budapest,+Hungary!6e1!3m4!1s0x4741ebcf4775ed2b:0x6c413b4c58e99085!8m2!3d47.3647048!4d19.1894781?hl=en",
"301","Gödöllő, Erzsébet park","Gödöllő, 2100 Hungary","","H8VR+X6 Gödöllő, Hungary","4.6","19","https://www.google.com/maps/place/G%C3%B6d%C3%B6ll%C5%91,+Erzs%C3%A9bet+park/@47.4996604,18.9288361,11z/data=!4m9!1m3!2m2!1sparks+near+Budapest,+Hungary!6e1!3m4!1s0x4741c9289747f0cb:0xa629629f91b4a8a7!8m2!3d47.5949807!4d19.3406206?hl=en",
"300","FOXPOST","Budapest, Hunyadi János út 19, 1117 Hungary","foxpost.hu","C2MR+XV Budapest, Hungary","3.3","8","https://www.google.com/maps/place/FOXPOST/@47.4348894,19.0246507,14z/data=!4m9!1m3!2m2!1sparks+near+Budapest,+Hungary!6e1!3m4!1s0x4741e7e650a12797:0x2d5ec4af82ca8970!8m2!3d47.4348894!4d19.0421602?hl=en",
"299","Budapest One","Budapest, Balatoni út 2/a, 1112 Hungary","facebook.com","F288+3M Budapest, Hungary","4.0","80","https://www.google.com/maps/place/Budapest+One/@47.4652475,18.9992205,14z/data=!4m9!1m3!2m2!1sparks+near+Budapest,+Hungary!6e1!3m4!1s0x4741dde828724d7f:0x30ad01bb83a14427!8m2!3d47.4652475!4d19.01673?hl=en",
"298","Csücsök Bár","Budapest, Soroksári út 31, 1095 Hungary","budapestpark.hu","F38G+VW Budapest, Hungary","4.0","1","https://www.google.com/maps/place/Cs%C3%BCcs%C3%B6k+B%C3%A1r/@47.4672,19.0598198,14z/data=!4m9!1m3!2m2!1sparks+near+Budapest,+Hungary!6e1!3m4!1s0x4741dd081e809e37:0xc5bfcb3f1b53a0ec!8m2!3d47.4672!4d19.0773293?hl=en",
"297","PEPCO","Budapest, Hengermalom út 19-21, 1117 Hungary","pepco.hu","F352+QF Budapest, Hungary","4.2","72","https://www.google.com/maps/place/PEPCO/@47.4594717,19.0336206,14z/data=!4m9!1m3!2m2!1sparks+near+Budapest,+Hungary!6e1!3m4!1s0x4741dd1f3da614bb:0x419eca6365ddb053!8m2!3d47.4594717!4d19.0511301?hl=en",
"296","Sanofi","Budapest, Harbor park 1, 1225 Hungary","sanofi.hu","9XP9+89 Budapest, Hungary","4.3","49","https://www.google.com/maps/place/Sanofi/@47.3857628,18.9509892,14z/data=!4m9!1m3!2m2!1sparks+near+Budapest,+Hungary!6e1!3m4!1s0x4741e6bc2f96a2d1:0xb49ac06c646278af!8m2!3d47.3857628!4d18.9684987?hl=en",
"295","Külkerpark - Sport-, és Szabadidőpark","Budapest, Budakeszi út 73c, 1021 Hungary","kulkerpark.hu","GXF6+FR Budapest, Hungary","4.3","360","https://www.google.com/maps/place/K%C3%BClkerpark+-+Sport-,+%C3%A9s+Szabadid%C5%91park/@47.5236388,18.9445479,14z/data=!4m9!1m3!2m2!1sparks+near+Budapest,+Hungary!6e1!3m4!1s0x4741df374bdee6bd:0xe4b05d5f65358b04!8m2!3d47.5236388!4d18.9620574?hl=en",
"294","Foxpost","Budapest, Alkotás u. 53, 1123 Hungary","foxpost.hu","F2RF+7H Budapest, Hungary","3.7","6","https://www.google.com/maps/place/Foxpost/@47.4995414,19.0514088,14z/data=!4m9!1m3!2m2!1sparks+near+Budapest,+Hungary!6e1!3m4!1s0x4741dc2ed14ed483:0xd7909b07857724d8!8m2!3d47.4907309!4d19.023923?hl=en",
"293","Holiday Beach Budapest Wellness and Conference Hotel","Budapest, Piroska u. 5, 1039 Hungary","holidaybeach.hu","H3Q8+5R Budapest, Hungary","3.8","99","https://www.google.com/maps/place/Holiday+Beach+Budapest+Wellness+and+Conference+Hotel/@47.5878905,19.0494921,14z/data=!4m12!1m3!2m2!1sparks+near+Budapest,+Hungary!6e1!3m7!1s0x4741d9ef8a957af9:0x100691bf0682c389!5m2!4m1!1i2!8m2!3d47.5878905!4d19.0670016?hl=en",
"292","SAP Hungary Kft.","Budapest, Záhony u. 7, 1031 Hungary","sap.com","H363+2F Budapest, Hungary","4.7","240","https://www.google.com/maps/place/SAP+Hungary+Kft./@47.5601243,19.0361816,14z/data=!4m9!1m3!2m2!1sparks+near+Budapest,+Hungary!6e1!3m4!1s0x4741d9828f212d63:0xb186af5d1f368884!8m2!3d47.5601243!4d19.0536911?hl=en",
"291","Möbelix Budapest Savoya park","Budapest, Hunyadi János út 19, 1117 Hungary","moebelix.hu","C2PR+VF Budapest, Hungary","4.2","1,354","https://www.google.com/maps/place/M%C3%B6belix+Budapest+Savoya+park/@47.4371467,19.0236993,14z/data=!4m9!1m3!2m2!1sparks+near+Budapest,+Hungary!6e1!3m4!1s0x4741e711f92bc89b:0x63cac6807129cf0e!8m2!3d47.4371467!4d19.0412088?hl=en",
